tr_01,pxr_01,pyr_01,pzr_01,pxdr_01,pydr_01,pzdr_01,q1r_01,tau0_01,tau1_01,tau2_01,vel1_01,vel2_01,vel3_01,veld1_01,veld2_01,veld3_01,Hpred0,Etiqueta
0.145,0.002078673,-0.08637922,-0.0059573099999999,0,0,0,0,0,0,0,-0.007278115,0.000440474,-0.001412987,0,0,0,0.0009784733730672,Ejercicio 1
0.146,0.002006998,-0.08637922,-0.00595815,0,0,0,0,0,0,0,-0.01279443,6.923309e-06,-0.0001681608,0,0,0,0.000978971855322,Ejercicio 1
0.147,0.001935895,-0.08636208,-0.006010522,0,0,0,0,0,0,0,-0.0020246409999999,0.0001609189,-0.0005063155,0,0,0,0.0009784733730672,Ejercicio 1
0.148,0.0017925,-0.08636208,-0.006012055,0,0,0,0,0,0,0,-0.002747231,1.335127e-06,-3.225676e-05,0,0,0,0.0009803728050734,Ejercicio 1
0.149,0.001649105,-0.08636208,-0.00601347,0,0,0,0,0,0,0,-0.002040979,8.04821e-09,-1.932749e-05,0,0,0,0.0009812976284723,Ejercicio 1
0.15,0.001505708,-0.08636208,-0.006014768,0,0,0,0,0,0,0,-0.007196974,9.190812e-11,-6.214896e-05,0,0,0,0.0009803728050734,Ejercicio 1
0.151,0.001434433,-0.08634492,-0.006066928,0,0,0,0,0,0,0,-0.001970765,0.0002945369,-0.0009005666,0,0,0,0.0009784733730672,Ejercicio 1
0.152,0.001362713,-0.08634492,-0.006067503,0,0,0,0,0,0,0,-0.0013500399999999,3.363523e-06,-2.064686e-05,0,0,0,0.0009812976284723,Ejercicio 1
0.153,0.001362713,-0.08634492,-0.006067503,0,0,0,0,0,0,0,-8.138106e-06,2.027547e-08,-1.244602e-07,0,0,0,0.0009817103072997,Ejercicio 1
0.154,0.001362713,-0.08634492,-0.006067503,0,0,0,0,0,0,0,-9.29347e-08,2.315398e-10,-1.421298e-09,0,0,0,0.0009817103072997,Ejercicio 1
